epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,49.0178,0.64183,0.84483,1,0.40124,0.00028339,0.00028339,0.00028339
2,97.3287,0.40314,0.93103,1,0.18175,0.000535315,0.000535315,0.000535315
3,151.005,0.25769,0.91379,1,0.18389,0.000737731,0.000737731,0.000737731
4,205.143,0.20126,0.94828,1,0.1225,0.000890636,0.000890636,0.000890636
5,259.351,0.24902,0.93103,1,0.12943,0.000994032,0.000994032,0.000994032
6,309.482,0.10014,0.94828,1,0.1555,0.000979362,0.000979362,0.000979362
7,367.417,0.13143,0.91379,1,0.17971,0.000841835,0.000841835,0.000841835
8,429.432,0.08068,0.94828,1,0.17805,0.000704307,0.000704307,0.000704307
9,494.311,0.07124,0.94828,1,0.1677,0.00056678,0.00056678,0.00056678
10,559.206,0.228,0.96552,1,0.15236,0.000429253,0.000429253,0.000429253
11,624.732,0.0667,0.94828,1,0.18136,0.000291725,0.000291725,0.000291725
12,694.231,0.10169,0.96552,1,0.16072,0.000154198,0.000154198,0.000154198
