epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.0406,0.50016,0.95714,1,0.25688,0.00025005,0.00025005,0.00025005
2,28.9951,0.23958,0.88571,1,0.30823,0.000482663,0.000482663,0.000482663
3,43.402,0.2089,0.91429,1,0.16453,0.000680069,0.000680069,0.000680069
4,56.9248,0.23572,0.87143,1,0.35411,0.000842268,0.000842268,0.000842268
5,70.6336,0.1199,0.94286,1,0.13961,0.00096926,0.00096926,0.00096926
6,85.5722,0.34833,0.97143,1,0.13946,0.00106105,0.00106105,0.00106105
7,100.555,0.11924,0.95714,1,0.09412,0.00100687,0.00100687,0.00100687
8,113.454,0.14922,0.94286,1,0.09328,0.000896846,0.000896846,0.000896846
9,125.648,0.12293,0.95714,1,0.15749,0.000786824,0.000786824,0.000786824
10,137.942,0.11174,0.94286,1,0.07588,0.000676802,0.000676802,0.000676802
11,150.25,0.09117,0.97143,1,0.06726,0.00056678,0.00056678,0.00056678
12,165.879,0.05671,0.98571,1,0.0739,0.000456758,0.000456758,0.000456758
13,180.067,0.04879,0.98571,1,0.09887,0.000346736,0.000346736,0.000346736
14,195.182,0.09665,0.97143,1,0.08099,0.000236714,0.000236714,0.000236714
15,209.351,0.06724,0.97143,1,0.08231,0.000126692,0.000126692,0.000126692
